lvl	Key	Value
>>>	Teaser	Ships from the Khanate are most common, but you see Chelonite vessels, Polythreme triremes with chained and sulky Unfinished Men, corsairs disposing of their miscreants, even one furtive Iremi skiff...
>>>	Name	Not so many goings
>>	Name	Compile a Port Report
>>	Description	The Governor is a ferocious, feared man. Do you dare honour the Sprightly Visionary's request?
>>>	Description	When you pass through the last gate of brass and iron, the Governor does not welcome you. He only sits, unmoving. You approach; he raises a hand - you leap to his desk, and rip off his mask.\r\n\r\nHullo! You've seen his scarred face elsewhere - Polythreme has a high bounty on his head, after he captured their vessels long ago, and led them to their doom in some forgotten escapade. The Governor roars, and pulls a pistol from beneath his desk; before he can fire, you relate the Sprightly Visionary's orders. He stands, knocking over his high-back chair. "I will begin gathering my men at once!" He bows deeply.
>>>	Teaser	When you pass through the last gate of brass and iron, the Governor does not welcome you...
>>	Name	Unmask the Governor and present the summons to Hideaway
>>	Description	He'll not be receiving any help from you.
>>>	Description	You crumple the paper into a ball and throw it into the zee. Languid apocyanic waves carry it away from your ship. A knot-oracle lazily blinks its many eyes; in that half-second, its tongue tongue shoots outward, and snaps up the message.
>>>	Teaser	You crumple the paper into a ball and throw it into the zee...
>>	Name	Throw away the Sprightly Visionary's letter
>>	Description	Wisdom will release prisoners, on payment of an eye-wateringly high redemption fee. It's not entirely clear whether this constitutes bribery, or a legal instance of Khaganian mercy. [This is unlikely to be profitable, unless you have someone specific in mind.]
>>>	Description	The Unctuous Fellow counts your Echoes lovingly into a brass-bound box, which he locks with a little key, which he places in a much grander box, which he locks with a much grander key. His delight in this process so overwhelms him that he almost forgets to give you your prisoner.
>>>	Teaser	The Unctuous Fellow counts your Echoes lovingly into a brass-bound box, which he locks with a little key, which he places in a much grander box, which he locks with a much grander key...
>>>	Name	"Oh, thank you. Thank you so much."
>>	Name	Ransom a Prisoner
>>>	Description	He is convivial, the Unctuous Fellow. He convives to the extent of a half-bottle of Greyfields First Sporing (a good thing you'd kept it for a special occasion). You have a pleasant chat about zee-weather and the loneliness of life out here in the Sea of Lilies; and he generously discounts the fee.
>>>	Teaser	He is convivial, the Unctuous Fellow...
>>>	Name	"Oh, go on. I'm sure you'll bring me a replacement, some day."
>>	Description	Scale the walls. Enter through the outflow pipes. Evade the guards. Secure your rescuee without raising any alarms. Don't get eaten by giant toads. [You'll only get one chance at this. It is unlikely to be profitable, unless you have someone specific in mind.]
>>>	Description	You make it up the prison walls, through the pipe, and straight into a cistern. The splashing attracts guards. Their guns wreak havoc before you escape. The pipe-grating is repaired that same night. [Further rescue attempts are impossible.]
>>>	Teaser	You make it up the prison walls, through the pipe, and straight into a cistern...
>>>	Name	Disaster!
>>	Name	Rescue a Prisoner
>>>	Description	Up the walls, in the gaps between the search-lights. Into the outflow pipe, where the arm-thick bars have rusted enough for you to saw through. Down the corridors in silence, beneath bare light bulbs, past the cells where prisoners plead. One crew-member does, in fact, fall out of the pipe on his return, straight into the mouth of a knot-oracle. It munches him ruminatively while his twitching leg protrudes - rather like a farmer chewing an interesting straw. Unpleasant.\r\n\r\nStill, all things considered, it went rather well. It won't work a second time, though. They're already walling up the pipe.
>>>	Teaser	Up the walls, in the gaps between the search-lights...
>>>	Name	Success!
>	Name	Wisdom
>	Description	A steaming sprawl of parasynthetic vegetation - and a village. Barely a village. Holed walls, roofs in disrepair, stilts leaning dangerously. It looks to have been assembled by drunks in a hurry. Dock carefully.
>	Teaser	A steaming sprawl of parasynthetic vegetation - and a village...
>>>	Description	"The Corsair's Forest, please. Gaider's Mourn. No, I'm not in a hurry, but I think I might stay below decks. I don't carry the fee on me: you'll have to trust me for it when we arrive. Thank you. A pleasure."
>>>	Teaser	"The Corsair's Forest, please...
>>>	Name	A Shady Sort
>>	Description	The Mangrove College is named for its scholars and philosophers. They have long abandoned civilised comforts for the life of the mind. Sometimes, they want those civilised comforts back.
>>>	Description	"The Principles. Port Cecil. Black and white and silver... please, take me there. Sooner, later, it doesn't matter. I know how complex the moves can be."
>>>	Teaser	"The Principles...
>>>	Name	A Chequered Character
>>	Name	Pick up a passenger
>>	Description	The philosophers of the College are not hospitable, but this whole shoreline is bursting with fruit and edible fungus. Reach up and it falls into your hand. Pick it up, and it's already fermented.
>>>	Description	Tart morels and morel tart. The salty tang of zeeweed stew. A crawling berry that the locals assure you is a motile plant, not an insect. Eat your fill, and drink contemplatively.
>>>	Teaser	Tart morels and morel tart...
>>>	Name	An explosion of tastes
>>	Name	Eat, drink, be merry
>>	Description	You don't have time to stop and rest, but you can gather plenty of supplies. The College members will grumble, but there's enough to go around
>>>	Description	Your crew strips a stretch of shoreline bare. It'll have burgeoned again by next week, no doubt.
>>>	Teaser	Your crew strips a stretch of shoreline bare...
>>>	Name	Wonderful things
>>	Name	Gather supplies
>>	Description	The swamps around the village are full of mud, crocodiles and vegetable treasures, including the notorious parasite called 'solacefruit'. The fogs and spreading branches occlude all light. [Take plenty of candles if you venture in.]
>>>	Description	[You can leave at any time, but if you get in far enough, you'll generally find something interesting.]
>>>	Teaser	[You can leave at any time, but if you get in far enough, you'll generally find something interesting...
>>>>	MoveMessage	You have moved to a new area
>>>>	Name	The Wisp-Ways
>>>	Name	Raise your lanterns high
>>	Name	Into the Wisp-Ways
>>	Description	The scholars of the College are hungry for lore. They'll help you put the pieces together. [This will convert these items to a Secret.]
>>>	Description	It all makes sense now! Or sense enough, at least.
>>>	Teaser	It all makes sense now! - 
>>>	Name	A dozen strands, a single knot
>>	Name	Unpick the Mysteries of other Lands
>>	Description	Some of the 'philosophers' of the College have the grizzled air of old zailors. Retired mariners? Or pirates who've come here to avoid attention?
>>>	Description	A Wary Hermit, her eyes bright, helps you sift truth from nonsense. By the end of it, she sighs with longing. 'The zee...' she says. "But no. I'm here for good."
>>>	Teaser	A Wary Hermit, her eyes bright, helps you sift truth from nonsense...
>>>	Name	Vivid stories
>>	Name	Unpick the Mysteries of the Zee
>>	Description	An Enigmatic Gentleman lives a comfortable life in the largest hut. He won't see you without an appointment, but the Admiralty has arranged that appointment.
>>>	Description	Once inside the hut, you might imagine yourself back in London. Bright candle-light, thick carpets (a little spotted with damp), even wallpaper (similarly spotted). Two philosophers wait on you both, a little sulkily. The Enigmatic Gentleman will say nothing until you've both eaten dinner (a fine, if eclectic meal: cavern-trout, swamp-fruits, spices from Adam's Way and Whither, served on Delft ware at a lacquered Ming table). When you're done, he gives you a carefully itemised list of ship sightings, some excellent port and a little something to take away. "Remember me to the Admiral," he says fondly.
>>>	Teaser	Once inside the hut, you might imagine yourself back in London...
>>>	Name	An island of civilisation
>>	Name	Meet your contact
>>	Description	Sages, scholars, philosophers, naturalists, poets, dreamers - here to pursue their rarefied ideals in a land of muddy fecundity.
>>>	Description	The thinkers of the Mangrove College continue their untroubled and sedentary existence. New schools of philosophy are born and die like bubbles. Extraordinary poetries are written in water. The occasional retired pirate tries, and fails, to get invited to salons.
